,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,sanitizing,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,deoderizer,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
1574,2020-03-13,2020-03-21,TRIOS Health,Benton,Benton City,"goggles, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC015­COVID19,WA­ 202031314761,
1575,2020-03-10,2020-03-21,Okanogan EM/Lifeline Ambulance,Okanogan,Okanogan,"suit, tyvek",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM202003100001,WA­ 202031014602,
1575,2020-03-10,2020-03-21,Okanogan EM/Lifeline Ambulance,Okanogan,Okanogan,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM202003100001,WA­ 202031014602,
1575,2020-03-10,2020-03-21,Okanogan EM/Lifeline Ambulance,Okanogan,Okanogan,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM202003100001,WA­ 202031014602,
1576,2020-03-18,2020-03-21,Department of Corrections,Franklin,Connell,"mask, n95, adult, 5000",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031817329 COVID19_2020_00004,WA­ 202031817329,
1577,2020-03-09,2020-03-21,Jefferson Healthcare,Jefferson,Port Townsend,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,JH0001 WA­20203913327,WA­ 20203913327,
1577,2020-03-09,2020-03-21,Jefferson Healthcare,Jefferson,Port Townsend,"helmets, papr",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,JH0001 WA­20203913327,WA­ 20203913327,
1578,2020-03-15,2020-03-21,Okanogan EM/North Valley Hospital,Okanogan,Tonasket,"swabs, viral transport tubes",SWABS,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM20200313­0003,WA­ 202031513328,
1579,2020-03-19,2020-03-21,Department of Corrections,Franklin,Connell,"gown, disposable, 10000,",Gowns,Incident Stabilization,County,Assigned,Accepted,Logistics Section,WA­20203197307 COVID19_2020_00010,WA­ 20203197307,
1579,2020-03-19,2020-03-21,Department of Corrections,Franklin,Connell,isolation gowns,Gowns,Incident Stabilization,County,Assigned,Accepted,Logistics Section,WA­20203197307 COVID19_2020_00010,WA­ 20203197307,
1580,2020-03-12,2020-03-21,East Jefferson Fire District,Jefferson,Port Townsend,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,COVID­00001 EJFD WA­202031213816,WA­ 202031213816,
1581,2020-03-12,2020-03-21,East Jefferson Fire District,Jefferson,Port Townsend,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,COVID­00003 EJFD WA­202031212215,WA­ 202031212215,
1582,2020-03-05,2020-03-21,Lourdes Medical,Franklin,Pasco,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FC­03052020­002 FC­CORONA­002,WA­ 20203516599,
1582,2020-03-05,2020-03-21,Lourdes Medical,Franklin,Pasco,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FC­03052020­002 FC­CORONA­002,WA­ 20203516599,
1582,2020-03-05,2020-03-21,Lourdes Medical,Franklin,Pasco,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FC­03052020­002 FC­CORONA­002,WA­ 20203516599,
1583,2020-03-05,2020-03-21,Mason County Emergency Management,Mason,Shelton,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­20203513676 20­2065­001,WA­ 20203513676,
1584,2020-03-12,2020-03-21,East Jefferson Fire District,Jefferson,Port Townsend,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,COVID19 00004 EJFD WA­202031213309,WA­ 202031213309,
1585,2020-03-12,2020-03-21,Mason County Public Health,Mason,Shelton,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0265­003,WA­ 202031213858,
1586,2020-03-16,2020-03-21,Jefferson County Sheriff,Jefferson,Port Hadlock,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,JCSO31620­3 200256,WA­ 202031618431,
1587,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO006 GHC031,WA­ 202031614121,
1588,2020-03-12,2020-03-21,Kitsap County Administrative Services Department,Kitsap,Bremerton,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 015,WA­ 202031212859,
1588,2020-03-12,2020-03-21,Kitsap County Administrative Services Department,Kitsap,Bremerton,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 015,WA­ 202031212859,
1588,2020-03-12,2020-03-21,Kitsap County Administrative Services Department,Kitsap,Bremerton,wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 015,WA­ 202031212859,
1589,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,"mask, procedure w",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO005 GHC030,WA­ 202031614469,
1589,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,protective face shield,Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO005 GHC030,WA­ 202031614469,
1590,2020-03-10,2020-03-21,Kitsap County Dept of Emer Management,Kitsap,Bremerton,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap­006,WA­ 202031018283,
1591,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,rr 263,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031317317 KC­ 202031317317,WA­ 202031317317,
1591,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,"wipes, sanitizing",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031317317 KC­ 202031317317,WA­ 202031317317,
1591,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,alcohol swabs,SWABS,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031317317 KC­ 202031317317,WA­ 202031317317,
1591,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031317317 KC­ 202031317317,WA­ 202031317317,
1592,2020-03-13,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 017 WA­ 202031315690,WA­ 202031315690,
1593,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,"gloves, exam small",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO004 GHC029,WA­ 202031614527,
1593,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,"gloves, exam medium",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO004 GHC029,WA­ 202031614527,
1593,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,"gloves, exam, large",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO004 GHC029,WA­ 202031614527,
1593,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,"gloves, exam xl",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO004 GHC029,WA­ 202031614527,
1594,2020-03-20,2020-03-21,Washington Veterans Home,Kitsap,Bremerton,"masks, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032016567 Kitsap ­ 041WVH,WA­ 202032016567,
1594,2020-03-20,2020-03-21,Washington Veterans Home,Kitsap,Bremerton,"masks, prosedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032016567 Kitsap ­ 041WVH,WA­ 202032016567,
1594,2020-03-20,2020-03-21,Washington Veterans Home,Kitsap,Bremerton,"shields, face, gowns",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032016567 Kitsap ­ 041WVH,WA­ 202032016567,
1594,2020-03-20,2020-03-21,Washington Veterans Home,Kitsap,Bremerton,tier 3 hc facility,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032016567 Kitsap ­ 041WVH,WA­ 202032016567,
1595,2020-03-20,2020-03-21,Kitsap County Coroner,Kitsap,Bremerton,"masks, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032012826 Kitsap ­ 044KCCRNR,WA­ 202032012826,
1595,2020-03-20,2020-03-21,Kitsap County Coroner,Kitsap,Bremerton,medical supplies for tier 1 hc facility,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032012826 Kitsap ­ 044KCCRNR,WA­ 202032012826,
1596,2020-03-12,2020-03-21,King County Fire District #45,King,Duvall,toilet paper,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,DO2020­01 KC­ 202031213626,WA­ 202031213626,
1596,2020-03-12,2020-03-21,King County Fire District #45,King,Duvall,"wipes, sanitizing",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,DO2020­01 KC­ 202031213626,WA­ 202031213626,
1596,2020-03-12,2020-03-21,King County Fire District #45,King,Duvall,"spray, sanitizing",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,DO2020­01 KC­ 202031213626,WA­ 202031213626,
1596,2020-03-12,2020-03-21,King County Fire District #45,King,Duvall,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,DO2020­01 KC­ 202031213626,WA­ 202031213626,
1596,2020-03-12,2020-03-21,King County Fire District #45,King,Duvall,bleach,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,DO2020­01 KC­ 202031213626,WA­ 202031213626,
1596,2020-03-12,2020-03-21,King County Fire District #45,King,Duvall,"hand soup, antibacterial",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,DO2020­01 KC­ 202031213626,WA­ 202031213626,
1597,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO003 GHC028,WA­ 202031614964,
1598,2020-03-12,2020-03-21,Neighborcare Health,King,Seattle,rr 251 ­ hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031211992 WA­ 202031211992,WA­ 202031211992,
1599,2020-03-17,2020-03-21,Newport Hospital and Health Services,Pend,Oreille Cusick,"hand sanitizer, foam",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031717330,WA­ 202031717330,
1600,2020-03-16,2020-03-21,Grays Harbor County Sheriff's Office,Grays,Harbor Montesano,"thermometer, no contact",Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO002 GHC027,WA­ 202031614351,
1601,2020-03-14,2020-03-21,Lakeside Milam Recovery Centers,King,Kirkland,"rr 291 ­ hand sanitizer, wall mount refills",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031422535, RR 292 KC­ 202031422535",WA­ 202031422535,
1601,2020-03-14,2020-03-21,Lakeside Milam Recovery Centers,King,Kirkland,"spray, disinfectant",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031422535, RR 292 KC­ 202031422535",WA­ 202031422535,
1601,2020-03-14,2020-03-21,Lakeside Milam Recovery Centers,King,Kirkland,"wipes, disinfectant",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031422535, RR 292 KC­ 202031422535",WA­ 202031422535,
1601,2020-03-14,2020-03-21,Lakeside Milam Recovery Centers,King,Kirkland,toilet paper,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031422535, RR 292 KC­ 202031422535",WA­ 202031422535,
1602,2020-03-17,2020-03-21,Newport Hospital & Health Services,Pend,Oreille Cusick,hand sanitizer refill,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031717970 WA­ 202031717970,WA­ 202031717970,
1603,2020-03-16,2020-03-21,Newport Hospital and Health Services,Pend,Oreille Cusick,"large, gowns, disposable, xl,",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031617920 WA­ 202031617920,WA­ 202031617920,
1603,2020-03-16,2020-03-21,Newport Hospital and Health Services,Pend,Oreille Cusick,standard isolation gowns,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031617920 WA­ 202031617920,WA­ 202031617920,
1605,2020-03-18,2020-03-21,Spokane Regional Health District,Spokane,Spokane,"swabs, naso­ pharyngeal, 10,000",SWABS,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812474 SRHD­003,WA­ 202031812474,
1605,2020-03-18,2020-03-21,Spokane Regional Health District,Spokane,Spokane,"viral transport media, 10,000",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812474 SRHD­003,WA­ 202031812474,
1606,2020-03-18,2020-03-21,City of Spokane,Spokane,Spokane,"gown, disposable,",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203189676 COS­002,WA­ 20203189676,
1606,2020-03-18,2020-03-21,City of Spokane,Spokane,Spokane,disposable exam gowns,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203189676 COS­002,WA­ 20203189676,
1607,2020-03-18,2020-03-21,City of Spokane,Spokane,Spokane,"masks, n95, large, 5000",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203188660 OCS­001,WA­ 20203188660,
1607,2020-03-18,2020-03-21,City of Spokane,Spokane,Spokane,"masks, n100, large, 5000",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203188660 OCS­001,WA­ 20203188660,
1608,2020-03-06,2020-03-21,PHSKC (KCMEO),King,Seattle,rr 169,,Incident Stabilization,County,Completed,Completed,Logistics Section,PH­ 20203615194 KC­ 20203615194,WA­ 20203615194,
1608,2020-03-06,2020-03-21,PHSKC (KCMEO),King,Seattle,"mask, n95",Masks,Incident Stabilization,County,Completed,Completed,Logistics Section,PH­ 20203615194 KC­ 20203615194,WA­ 20203615194,
1608,2020-03-06,2020-03-21,PHSKC (KCMEO),King,Seattle,^,,Incident Stabilization,County,Completed,Completed,Logistics Section,PH­ 20203615194 KC­ 20203615194,WA­ 20203615194,
1609,2020-03-17,2020-03-21,Airway Heights Fire,Spokane,Airway Heights,"mask, procedure,",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,AHFD­003,WA­ 202031716289,
1609,2020-03-17,2020-03-21,Airway Heights Fire,Spokane,Airway Heights,surgical masks,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,AHFD­003,WA­ 202031716289,
1610,2020-03-17,2020-03-21,Airway Heights Fire,Spokane,Airway Heights,wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031716585 AHFD­002,WA­ 202031716585,
1611,2020-03-17,2020-03-21,Airway Heights Fire,Spokane,Airway Heights,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031716672 AHFD­001,WA­ 202031716672,
1611,2020-03-17,2020-03-21,Airway Heights Fire,Spokane,Airway Heights,100,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031716672 AHFD­001,WA­ 202031716672,
1612,2020-03-16,2020-03-21,Spokane Regional Health District,Spokane,Spokane,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SRHD­001,WA­ 202031616321,
1613,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"gloves, exam",Gloves,Incident Stabilization,County,Accepted,Accepted,Logistics Section,SH­016,WA­ 20203413755,
1614,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,glove exam,Gloves,Incident Stabilization,County,Accepted,Accepted,Logistics Section,SH­018,WA­ 20203413963,
1615,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,gown isolation,Gowns,Incident Stabilization,County,Accepted,Accepted,Logistics Section,SH­013,WA­ 20203412528,
1616,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,shield face,,Incident Stabilization,County,Accepted,Completed,Logistics Section,SH­012,WA­ 20203412297,
1617,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, surgical",Masks,Incident Stabilization,County,Accepted,Accepted,Logistics Section,SH­008,WA­ 2020349491,
1618,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,mask anti fog,Masks,Incident Stabilization,County,Accepted,Accepted,Logistics Section,SH­010,WA­ 2020349677,
1619,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, surgical",Masks,Incident Stabilization,County,Accepted,Accepted,Logistics Section,SH­009,WA­ 2020349906,
1620,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, isolation",Masks,Incident Stabilization,County,Accepted,In Transit,Logistics Section,SH­007,WA­ 202034992,
1621,2020-03-11,2020-03-21,Snohomish County Sheriff,Snohomish,Everett,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­ 20203119770,WA­ 20203119770,
1622,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, n95",Masks,Life Saving,County,Accepted,Assigned Accepted,Logistics Section,SH­006,WA­ 2020349528,
1623,2020-03-04,2020-03-21,Providence st joseph health,Spokane,Spokane,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­010,WA­ 2020349776,
1624,2020-03-16,2020-03-19,Clark County Public Health,Clark,Vancouver,federal or state asset,,Incident Stabilization,County,Unassigned,Cancelled,Logistics Section,COVID­010,WA­ 202031616325,
1625,2020-03-19,2020-03-19,Okanogan EM / Fire Dist 15 EMS,Okanogan,Pateros,disinfectant,Disinfectant/Sanitizer,Incident Stabilization,County,Unassigned,,,OKEM20200319­ 0004,WA­ 202031911593,
